date,mor_temp,mor_humid,mor_wspd,mor_wdeg,mor_cloud,mor_weather_id,noo_temp,noo_humid,noo_wspd,noo_wdeg,noo_cloud,noo_weather_id,aft_temp,aft_humid,aft_wspd,aft_wdeg,aft_cloud,aft_weather_id,daily_power
2016-07-24,18.352857142857143,77.42857142857143,1.5714285714285714,262.85714285714283,37.57142857142857,701,24.392000000000003,53.4,2.4,200.0,71.0,803,21.94857142857143,64.57142857142857,2.857142857142857,262.85714285714283,31.571428571428573,802,21.99
2016-07-25,19.254285714285714,77.85714285714286,3.5714285714285716,228.57142857142858,62.142857142857146,803,22.889999999999997,68.2,3.6,258.0,47.0,802,19.79,65.57142857142857,3.4285714285714284,281.42857142857144,34.285714285714285,801,19.02
2016-07-26,17.427142857142858,71.42857142857143,1.4285714285714286,127.14285714285714,34.42857142857143,802,22.733999999999998,53.0,1.8,172.0,61.0,803,20.141428571428573,61.714285714285715,3.142857142857143,320.0,73.14285714285714,803,13.04
2016-07-27,16.521428571428572,78.57142857142857,3.4285714285714284,224.28571428571428,28.0,801,20.704,62.2,5.2,222.0,40.0,802,19.51142857142857,70.42857142857143,4.142857142857143,238.57142857142858,55.0,802,17.05
2016-07-28,18.381428571428568,79.14285714285714,2.857142857142857,225.71428571428572,45.0,802,22.294,56.4,4.8,244.0,40.0,802,19.798571428571424,58.142857142857146,5.0,245.71428571428572,49.142857142857146,802,14.99
2016-07-29,18.43285714285714,79.0,3.857142857142857,227.14285714285714,50.0,802,20.838,62.4,6.2,256.0,43.0,802,19.738571428571426,62.57142857142857,3.7142857142857144,250.0,31.571428571428573,802,18.02
2016-07-30,16.927142857142858,78.14285714285714,3.142857142857143,221.42857142857142,60.0,803,20.074,64.2,3.6,258.0,36.0,802,18.68142857142857,70.57142857142857,2.2857142857142856,291.42857142857144,39.285714285714285,802,13.01
2016-07-31,17.337142857142858,73.85714285714286,2.0,221.42857142857142,50.0,802,20.31,49.8,7.0,310.0,32.8,802,17.38285714285714,57.57142857142857,2.947142857142857,239.0,11.571428571428571,801,4.98
2016-08-01,16.345714285714287,69.42857142857143,2.857142857142857,224.28571428571428,34.285714285714285,802,20.276,55.8,4.4,294.0,40.0,802,17.46285714285714,61.714285714285715,2.5714285714285716,275.7142857142857,70.0,803,6.0
2016-08-02,14.932857142857143,87.85714285714286,3.5714285714285716,177.14285714285714,55.0,311,17.902,88.0,4.8,224.0,68.0,311,18.174285714285713,88.42857142857143,4.857142857142857,230.0,62.142857142857146,311,7.02
2016-08-03,18.202857142857145,86.57142857142857,4.857142857142857,218.57142857142858,47.142857142857146,310,18.844,84.4,4.8,212.0,40.0,310,18.289999999999996,84.0,4.428571428571429,230.0,31.571428571428573,500,7.97
2016-08-04,16.24,77.57142857142857,4.714285714285714,220.0,70.85714285714286,803,19.228,65.4,5.8,220.0,57.0,802,18.518571428571427,58.857142857142854,4.142857142857143,231.42857142857142,28.714285714285715,802,18.95
2016-08-05,16.384285714285713,77.0,2.857142857142857,244.28571428571428,45.285714285714285,801,20.214000000000002,65.2,4.8,288.0,20.0,801,17.584285714285713,66.28571428571429,3.7142857142857144,282.85714285714283,43.285714285714285,802,21.02
2016-08-06,16.034285714285712,79.14285714285714,3.4285714285714284,224.28571428571428,44.285714285714285,802,21.232,57.8,5.2,286.0,32.0,802,17.86,62.285714285714285,2.5714285714285716,274.2857142857143,4.857142857142857,800,19.99
2016-08-07,17.03142857142857,75.14285714285714,3.857142857142857,211.42857142857142,22.571428571428573,800,22.857999999999997,62.0,5.6,222.0,54.0,802,22.045714285714286,70.0,5.142857142857143,238.57142857142858,62.142857142857146,803,15.03
2016-08-08,16.76142857142857,75.85714285714286,4.571428571428571,245.71428571428572,39.42857142857143,802,20.06,50.4,6.4,290.0,20.0,801,17.284285714285712,51.142857142857146,4.428571428571429,298.57142857142856,41.42857142857143,802,20.97
2016-08-09,15.074285714285717,70.57142857142857,3.0,264.2857142857143,20.714285714285715,801,17.414,57.0,5.2,334.0,32.0,802,14.634285714285713,58.857142857142854,3.435714285714286,265.42857142857144,31.857142857142858,801,3.98
2016-08-10,12.554285714285713,76.57142857142857,1.272857142857143,216.85714285714286,47.142857142857146,802,14.668000000000001,66.2,4.0,288.0,28.0,801,13.43857142857143,58.285714285714285,3.2857142857142856,315.7142857142857,15.714285714285714,800,0.98
2016-08-11,13.05285714285714,77.71428571428571,4.285714285714286,214.28571428571428,53.57142857142857,802,14.398000000000001,83.2,5.2,220.0,40.0,501,15.484285714285715,84.42857142857143,3.0,232.85714285714286,52.142857142857146,501,2.99
2016-08-12,17.458571428571428,80.0,3.857142857142857,254.28571428571428,45.0,802,21.82,65.2,5.4,250.0,36.0,802,20.912857142857145,64.71428571428571,3.2857142857142856,231.42857142857142,9.285714285714286,800,21.96
2016-08-13,16.428571428571427,75.71428571428571,3.857142857142857,237.14285714285714,54.285714285714285,802,22.168,56.4,4.4,264.0,32.0,802,19.727142857142855,66.28571428571429,2.6371428571428575,279.0,42.142857142857146,802,20.04
2016-08-14,16.891428571428573,80.71428571428571,1.2114285714285715,261.57142857142856,34.42857142857143,802,21.606,59.0,3.0,276.0,36.0,802,18.397142857142857,63.42857142857143,3.0,255.71428571428572,41.57142857142857,802,14.99
2016-08-15,16.117142857142856,68.42857142857143,3.0,51.42857142857143,32.142857142857146,801,21.32,48.0,3.6,64.0,12.0,801,18.821428571428573,56.57142857142857,3.0,51.42857142857143,3.142857142857143,800,26.02
2016-08-16,15.225714285714288,73.71428571428571,3.2857142857142856,61.42857142857143,25.857142857142858,801,22.380000000000003,51.0,4.2,74.0,28.0,801,19.252857142857145,58.0,3.5714285714285716,51.42857142857143,0.42857142857142855,800,21.05
2016-08-17,15.760000000000002,70.28571428571429,3.142857142857143,74.28571428571429,0.5714285714285714,800,24.59,45.8,4.0,90.0,1.0,800,21.307142857142857,49.0,3.4285714285714284,64.28571428571429,1.0,800,15.02
2016-08-18,15.855714285714283,69.0,1.9828571428571427,91.0,28.714285714285715,802,23.65,46.0,1.6,24.0,28.0,801,20.705714285714286,50.142857142857146,2.4285714285714284,190.0,19.571428571428573,801,19.97
2016-08-19,17.337142857142858,77.14285714285714,1.4285714285714286,124.28571428571429,41.57142857142857,803,22.735999999999997,63.0,3.2,178.0,75.0,803,19.592857142857145,73.57142857142857,4.285714285714286,202.85714285714286,47.142857142857146,802,25.05
2016-08-20,17.34857142857143,77.0,3.857142857142857,214.28571428571428,45.0,802,22.276000000000003,45.2,6.4,226.0,20.0,801,18.954285714285714,55.857142857142854,3.7142857142857144,221.42857142857142,39.857142857142854,802,19.04
2016-08-21,15.281428571428572,79.28571428571429,6.0,217.14285714285714,47.142857142857146,802,18.81,70.8,5.4,244.0,32.0,802,17.754285714285714,70.85714285714286,4.428571428571429,240.0,32.57142857142857,801,15.02
2016-08-22,17.158571428571427,82.28571428571429,4.428571428571429,230.0,72.14285714285714,803,22.502000000000002,58.4,5.2,244.0,38.0,802,19.721428571428568,58.0,3.0,225.71428571428572,3.5714285714285716,800,21.04
2016-08-23,17.93285714285714,72.42857142857143,1.1428571428571428,137.14285714285714,11.571428571428571,801,27.695999999999998,45.8,3.2,166.0,0.0,800,24.50428571428571,60.285714285714285,2.142857142857143,111.42857142857143,1.0,800,23.04
2016-08-24,21.312857142857144,69.28571428571429,2.2857142857142856,125.71428571428571,0.5714285714285714,800,31.102000000000004,41.2,3.4,142.0,0.6,800,26.418571428571425,55.42857142857143,2.144285714285714,109.42857142857143,9.428571428571429,800,23.04
2016-08-25,21.858571428571427,69.85714285714286,2.0,121.42857142857143,3.857142857142857,800,31.712,43.6,2.6,146.0,0.0,800,27.588571428571424,59.142857142857146,1.8571428571428572,131.42857142857142,4.428571428571429,800,21.95
2016-08-26,22.18,70.42857142857143,2.4414285714285713,261.42857142857144,27.142857142857142,721,26.959999999999997,57.2,3.8,272.0,9.8,800,22.98857142857143,66.14285714285714,3.142857142857143,68.57142857142857,25.571428571428573,802,17.0
2016-08-27,20.095714285714283,74.28571428571429,3.7142857142857144,70.0,19.428571428571427,801,28.22,59.4,4.0,86.0,74.2,803,26.17428571428572,71.0,1.5714285714285714,120.0,67.14285714285714,803,14.0
2016-08-28,21.580000000000002,73.28571428571429,4.571428571428571,214.28571428571428,33.0,802,23.598,49.8,6.0,254.0,29.8,802,20.234285714285715,60.714285714285715,4.571428571428571,257.14285714285717,21.285714285714285,801,18.98
2016-08-29,17.861428571428572,81.14285714285714,2.32,287.42857142857144,62.142857142857146,803,21.035999999999998,60.0,4.0,330.0,24.0,801,17.774285714285714,66.85714285714286,3.7142857142857144,297.14285714285717,20.428571428571427,802,16.01
2016-08-30,15.012857142857143,77.85714285714286,1.2542857142857144,101.71428571428571,2.2857142857142856,800,22.868,41.8,1.8,62.0,9.8,800,19.134285714285717,54.714285714285715,2.142857142857143,81.42857142857143,17.285714285714285,801,21.96
2016-08-31,15.84142857142857,69.42857142857143,1.5742857142857143,177.42857142857142,11.571428571428571,800,24.897999999999996,39.8,3.0,252.0,35.6,801,20.502857142857142,58.285714285714285,3.7914285714285714,282.85714285714283,28.571428571428573,802,2.0
2016-09-01,17.274285714285718,78.14285714285714,2.5714285714285716,244.28571428571428,68.85714285714286,803,22.47,51.8,5.2,268.0,23.0,801,18.221428571428568,67.85714285714286,2.4285714285714284,178.57142857142858,44.42857142857143,803,2.0
2016-09-02,15.597142857142858,76.71428571428571,3.2285714285714286,235.71428571428572,34.42857142857143,802,21.348,55.2,4.0,226.0,61.0,803,18.294285714285714,71.28571428571429,3.0,251.42857142857142,49.42857142857143,803,8.03
2016-09-03,16.267500000000002,84.375,3.0225,230.0,76.875,803,21.924,62.0,3.4,180.0,40.0,802,20.59,59.714285714285715,2.7142857142857144,220.0,40.0,802,14.96
2016-09-04,18.632857142857144,82.71428571428571,4.714285714285714,231.42857142857142,54.285714285714285,802,20.034,58.8,8.0,272.0,39.0,801,17.958571428571428,71.85714285714286,5.428571428571429,261.42857142857144,65.71428571428571,803,27.05
2016-09-05,17.38,78.71428571428571,2.857142857142857,262.85714285714283,47.142857142857146,802,21.948,56.6,2.4,192.0,24.0,801,19.32,67.85714285714286,2.0,225.71428571428572,31.857142857142858,801,32.99
2016-09-06,18.595714285714283,80.85714285714286,1.7142857142857142,155.71428571428572,67.14285714285714,803,22.113999999999997,71.2,2.4,196.0,40.0,802,19.771428571428572,79.28571428571429,0.9971428571428572,132.0,36.57142857142857,802,13.96
2016-09-07,17.532857142857143,78.42857142857143,1.4285714285714286,107.14285714285714,10.857142857142858,800,26.04,39.2,3.4,100.0,0.0,800,21.87857142857143,53.142857142857146,2.4285714285714284,67.14285714285714,0.42857142857142855,800,24.97
2016-09-08,18.302857142857142,72.0,1.4285714285714286,145.71428571428572,0.7142857142857143,800,27.062,44.0,4.8,226.0,9.2,800,20.322857142857142,62.714285714285715,5.142857142857143,270.0,14.428571428571429,800,17.99
2016-09-09,15.414285714285715,75.0,2.4285714285714284,192.85714285714286,3.4285714285714284,800,22.259999999999998,49.8,2.4,170.0,22.8,800,18.49285714285714,65.28571428571429,1.7142857142857142,154.28571428571428,0.8571428571428571,800,10.03
